	Metabolite	p_Group	p_Hour	p_Interaction	p_Group_adj	p_Hour_adj	p_Interaction_adj
0	Lysinium	0.7491131326483098	0.0006508827362917079	0.3306511090007802	0.9802962639759304	0.0014929622763691051	0.48346198009277425
1	Histidine	0.6688402612183719	4.1216894696918e-21	0.6209173671676	0.9802962639759304	4.70988085367718e-19	0.7098961799081284
2	Arginine	0.6532106776628771	0.016070699499323823	0.7017968500370244	0.9802962639759304	0.028085460553580202	0.7619876912412087
3	N-[2-(1H-imidazol-5-yl)ethyl]propan-2-amine	0.6851173128589263	0.00010255912091928143	0.41141473394405437	0.9802962639759304	0.00028088953266698717	0.5450873911821947
4	Cholinum	0.4552884062600455	5.017309351271266e-16	0.07649788681876454	0.9802962639759304	1.4164250245511959e-14	0.1995519353192121
5	4-aminobutanoate	0.8026319967506514	0.03826805591337974	0.41878610303580444	0.9802962639759304	0.06079816675415743	0.5478355551804419
6	Glutamin	0.3088761873475139	0.03337697159569406	0.07420520617033367	0.9802962639759304	0.05438473381053936	0.19835719859471002
7	Carnitin	0.5292438213045657	2.5664321246393594e-12	0.10895714721697967	0.9802962639759304	3.363859249080874e-11	0.2423471092644336
8	2-aminoethyl methyl phosphate	0.05099229910784187	0.0010410498046481203	0.1289039563870446	0.8680972185363263	0.0022878160377596416	0.270330011394545
9	Choline alfoscerate	0.9566812927495258	0.05638195830949128	0.670660745309443	0.9922199252459547	0.0845229220619106	0.7402104608282821
10	Threonin	0.6143602192162175	2.7215538003222015e-10	0.645486841304058	0.9802962639759304	1.816018626760451e-09	0.7244454763259611
11	L-citrulline	0.599660839452772	0.06112140784262826	0.20162309692321556	0.9802962639759304	0.0904498253155023	0.340993901248019
12	Glutamat	0.826950017032912	0.0016661293175090517	0.7635920047076528	0.9802962639759304	0.0034941111972904113	0.8122848281962567
13	Ononitol						
14	Trigonelline	0.6119355119083733	0.5587942889432269	0.0518629938273809	0.9802962639759304	0.5996418246846908	0.15554654470352894
15	5-Hydroxymethylfurfural	0.028966037068490533	0.0661900564473539	0.04913591213125107	0.850424807503545	0.09639583617531301	0.15412717736896703
16	n5-acetyl-l-ornithine	0.5474666875005847	0.00014538115855813047	0.14672075858367917	0.9802962639759304	0.00038384809489808554	0.2932889034408915
17	Adenine	0.6577421706663089	0.006577189116713839	0.16776625217450503	0.9802962639759304	0.012409663708371866	0.30785107274021667
18	2,1-Benzoxaborole, 4-fluoro-1,3-dihydro-1-hydroxy-	0.9135110289119169	0.3470691128831128	0.4096420781375266	0.9922199252459547	0.4018118751675155	0.5447052270886676
19	Imidazole-4-acrylic acid	0.349956806911635	0.0011960009441005102	0.03421422421503728	0.9802962639759304	0.0025972328194372027	0.12190893482445324
20	O-acetyl-L-carnitine	0.01490191346637621	0.12433504605180314	4.7092853680867843e-07	0.5738607814556462	0.16355183477065144	5.2941708108629824e-05
21	Pyridoxine (vitamin B6)	0.5466442395247723	1.841239063331771e-05	0.15024063718497985	0.9802962639759304	5.704649106254441e-05	0.2932889034408915
22	Adenine arabinoside	0.908850698204747	0.1016271322632155	0.8741377636633129	0.9922199252459547	0.13968972861647974	0.893617156725448
23	D-pipecolate	0.3903657277231172	0.0003631107421151007	0.15345751177422384	0.9802962639759304	0.000888410949041613	0.2964152990586324
24	Uracil	0.8197193567841379	7.083233165976701e-06	0.4362555291306822	0.9802962639759304	2.452402426333443e-05	0.5598104167516097
25	piperidine-2,6-dicarboxylate	0.5132420595554263	0.283758024817403	0.2530956992332519	0.9802962639759304	0.33377947149995796	0.39526009199405726
26	Nicotinate	0.31256258822159544	8.307206504699479e-08	0.09177019711995354	0.9802962639759304	3.859170616740138e-07	0.21978740605718305
27	DL-methionine	0.5807934164500046	1.0248017288864409e-10	0.092825743702625	0.9802962639759304	7.83546321877758e-10	0.21978740605718305
28	Xanthine	0.5840939379638682	8.413947040180523e-06	0.5485822443093419	0.9802962639759304	2.832952810776378e-05	0.6533138066753766
29	Pidolate	0.8419384250659876	2.4004678051348224e-06	0.542865801371486	0.9809644632238368	9.176788380046665e-06	0.6517517921223747
30	Hypoxanthine	0.8236522514851683	0.0065936905262466315	0.36677055180718	0.9802962639759304	0.012409663708371866	0.5177107404355195
31	Isonicotinamide	0.7981427284488931	0.013000182616104333	0.7828464136380058	0.9802962639759304	0.0231605195150985	0.8279672443952396
32	Tyrosine	0.3318068020853734	3.3001618475027334e-05	0.18111170658525189	0.9802962639759304	9.846824374256123e-05	0.3187094227225914
33	Phenacylamine	0.28239950737357533	9.064125940134996e-05	0.1415883168280014	0.9802962639759304	0.0002501153548894393	0.2870879131263896
34	Coumarate	0.25814948610811095	5.26455991166626e-05	0.11285131836748762	0.9802962639759304	0.00015094480371730606	0.24506765586312398
35	Tyramine 	0.294837193362536	5.837390068132988e-10	0.010893150735585989	0.9802962639759304	3.693658887939322e-09	0.05260245157842181
36	4-Vinylphenol	0.3091919135518718	2.2860229387610208e-10	0.01081329619212038	0.9802962639759304	1.55364892319499e-09	0.05260245157842181
37	Isoleucine	0.5071875182429935	1.910913319238306e-10	0.11041528841866578	0.9802962639759304	1.3232173361518082e-09	0.24411090873283336
38	Thymine	0.5873067092297239	2.181895331558971e-08	0.2601275981235357	0.9802962639759304	1.112160537058531e-07	0.40112112819889745
39	L-Norleucine	0.4456508533977056	0.08510590842051166	0.34993945519353875	0.9802962639759304	0.120594086449142	0.5036383531608969
40	Adipo-2,6-lactam	0.4263742186647598	0.002295333940641193	0.1738248559705421	0.9802962639759304	0.004759251730030044	0.31271432422151446
41	H-Glu-Tyr-OH						
42	Indoline	0.966689130521156	1.4831396889824817e-05	0.828504518265338	0.9922199252459547	4.6923471194531965e-05	0.8589298254332741
43	DL-Phenylalanine (Sabiden)	0.7338275365469789	2.399139253427795e-05	0.4050624350023644	0.9802962639759304	7.337367550066673e-05	0.543714016810989
44	Vitamin B5	0.18262528758148389	0.22862340139803283	0.11257793266582357	0.9802962639759304	0.27600259313512515	0.24506765586312398
45	3-hydroxyanthranilic acid	0.7336266156786583	0.005263327546638328	0.22140884026687746	0.9802962639759304	0.01038516779363584	0.36660391666831704
46	Phenethylamine	0.1499501784888586	6.380248355410674e-06	0.005806883769191115	0.9802962639759304	2.2514914869574203e-05	0.03228979308019908
47	Styrene	0.15539766365954422	1.008706740633846e-05	0.006689370709050241	0.9802962639759304	3.276065254978951e-05	0.0361029272091388
48	Vitamin L2	0.4275997396855913	1.095017646223863e-07	0.0917180167998319	0.9802962639759304	4.900871660538509e-07	0.21978740605718305
49	3-indoleacrylate	0.9766324604342673	1.2477564259687072e-10	0.6149917506353635	0.9922199252459547	9.34544098633705e-10	0.7053186640099325
50	DL-Tryptophan	0.9914957325698015	8.400629671275659e-11	0.5869614682019443	0.9922199252459547	6.70224149860471e-10	0.6837984369102131
51	Indole-3-carboxaldehyde	0.823557142898238	8.151613580253409e-11	0.4188932738850306	0.9802962639759304	6.64809374211778e-10	0.5478355551804419
52	Indole	0.7854929809073723	5.23170320953222e-09	0.40741513521259387	0.9802962639759304	2.865723996863171e-08	0.543714016810989
53	3-ethenyl-1H-indole	0.9069441106324757	2.3097677587584585e-07	0.5764727540970849	0.9922199252459547	9.524547949037688e-07	0.6780945536975325
54	Isoleucylproline	0.8913583438373409	0.004391606151952297	0.35752626095668705	0.9922199252459547	0.008711997069008071	0.5105530652572146
55	Methyl L-leucinate	0.5864810599348237	2.3357886536095753e-06	0.033219893839751546	0.9802962639759304	9.02352037762857e-06	0.11952648077636095
56	6-(2-oxopyrrolidin-1-yl)hexanoic acid	0.6934744482634165	0.16281001203855827	0.32369321910688265	0.9802962639759304	0.21039181133151721	0.47709000567159005
57	Kaempferol 3-(3Rha-glucosylrutinoside)						
58	(4S)-4-amino-5-[[(1S)-1-carboxy-2-phenylethyl]amino]-5-oxopentanoic acid	0.44134902952000177	0.020277309204615214	0.1007310513347233	0.9802962639759304	0.03429388238752896	0.22961674434685375
59	Phenylalanylproline	0.8832165067705608	0.05345348518412078	0.4067140597009977	0.9922199252459547	0.08140012059158641	0.543714016810989
60	Isovalerylcarnitine	0.8014146718093618	1.1687133958567312e-07	0.4920169826905544	0.9802962639759304	5.167684533486992e-07	0.6155025457097375
61	Leucyl-Isoleucine 	0.3388672009809367	3.454033752232617e-05	0.017161119752139006	0.9802962639759304	0.00010222825702172341	0.07156966987539791
62	3-methyl-2-[(3-methylfuran-2-carbonyl)amino]pentanoic acid	0.44290612732792634	8.508768854920255e-05	0.03598332917270102	0.9802962639759304	0.00023837543280578118	0.12341945613440444
63	Ethyl 2-amino-4-methylpentanoate	0.6510850029487311	7.558132551273765e-06	0.04425055375844477	0.9802962639759304	2.592368828334086e-05	0.14137993456925152
64	Glycitin	0.02801536459206001	0.11541594442019983	0.11376550209104751	0.850424807503545	0.15402782400804851	0.24559964274949667
65	Daidzin	0.06623085046053716	0.0010228526014854245	0.1394892435784647	0.8680972185363263	0.002261366896055125	0.28440306885164746
66	Tetrahydroharman-3-carboxylic acid	0.4195902280855007	0.005902428778039054	0.051561928731178215	0.9802962639759304	0.011461329955239853	0.15554654470352894
67	Tetramethylpyrazine	0.34825109646144603	0.003882074403621991	0.041168062453521705	0.9802962639759304	0.007828139044666322	0.13735162654947697
68	L-phenylalanyl-L-leucine	0.21802903044587874	4.486875147631946e-05	0.0046478079893665595	0.9802962639759304	0.00012966009284889166	0.02829082487040285
69	Jasmonate						
70	2-(4-aminoanilino)propanoate	0.34151557548916656	0.0009560800842384199	0.03271532067631688	0.9802962639759304	0.0021312601772832066	0.11952648077636095
71	|A-(Methylamino)-3-pyridinebutanoic Acid	0.27254430159278475	0.0016146252923880647	0.027594311850474378	0.9802962639759304	0.0034252455624648537	0.10440322112499069
72	Malonyldaidzin	0.10639331991938067	0.26567400480806613	0.030770913547705944	0.9802962639759304	0.3165661031316892	0.11523393134702124
73	Malonylglycitin						
74	Genistin	0.06325733591268848	0.006106292752325198	0.14341192547023168	0.8680972185363263	0.011733033717818574	0.2891877837778848
75	Homoplantaginin						
76	(2E,6E)-5,8-dihydroxydodeca-2,6-dienoic acid						
77	2-Vinylquinoline	0.9652700372487671	2.4448760483856725e-05	0.5434224751756039	0.9922199252459547	7.415450493863982e-05	0.6517517921223747
78	6''-O-acetyldaidzin	0.0021740071095934558	1.2923230986885499e-05	0.00014862781100259475	0.17203995873155215	4.12419632364085e-05	0.002371582897302273
79	N-Acetylisoleucine	0.33914545166152277	0.0008789580721209319	0.04588410956966435	0.9802962639759304	0.001979003757474736	0.1451678294143691
80	Coumarin						
81	 4-Hydroxy Cinnamic Acid						
82	Malonylgenistin	0.1001217898034877	0.2999796304532071	0.038151644085933405	0.9802962639759304	0.3495000773851651	0.1284555355920877
83	1-benzyl-4-prop-2-ynylpiperazine	0.3441842543469723	0.022163835516291898	0.10576156054346207	0.9802962639759304	0.036973307429450576	0.23812572220521827
84	4,4'-diaminoazobenzene	0.7387681948814864	0.2254527768236041	0.40365033572015974	0.9802962639759304	0.2749907245217494	0.543714016810989
85	1-methyl-N-(pyridin-2-ylmethyl)benzimidazol-2-amine	0.7329565995187413	0.22703593877408546	0.3929909654784032	0.9802962639759304	0.2749907245217494	0.5381630012334903
86	N-acetyl-L-phenylalanine	0.8496250534003807	3.805416057016557e-06	0.8600706283003112	0.9861276470458823	1.4106946393182592e-05	0.8816925156039503
87	6''-O-acetylgenistin	0.002301002768977596	4.4196922716931936e-05	0.00039694583334458247	0.17203995873155215	0.00012873230664376206	0.004414518813256417
88	4-Dimethylamino-L-phenylalanine	0.28573151623097837	0.0005988889252746185	0.015229574723210034	0.9802962639759304	0.0014089245870242627	0.06530067597837859
89	(1-(3-Oxo-2-aza-spiro(4.5)dec-2-ylmethyl)-cyclohexyl)-acetic acid	0.1620018570516546	2.6029431458141163e-11	0.00024214956178659095	0.9802962639759304	2.3882003362844517e-10	0.0031738888991313884
90	Trimethyl-pyrazine	0.4130311019894388	0.0012943437209762892	0.022910381008409766	0.9802962639759304	0.002794259679989989	0.09139249815311287
91	 O-octanoylcarnitine	0.3600755022334904	0.000624913390963344	0.05375929973614226	0.9802962639759304	0.0014515393321743498	0.1591101855093888
92	Daidzein	0.6545590277779345	0.0001894248301315715	0.9065582481320722	0.9802962639759304	0.0004895698074527235	0.9190797708963273
93	N-(5-{[1,3-dioxo-2-(4-pyridylcarbonylamino)benzo[c]azolidin-5-yl]carbonyl}-1,3-dioxobenzo[c]azolin-2-yl)-4-pyridylcarboxamide	0.01563653355464976	4.215400531144195e-06	0.5351096983941253	0.5738607814556462	1.5470519949299195e-05	0.6460041424692236
94	2,3-dimethyl-5-isopropylpyrazine	0.2445775539114896	0.00023191134353097874	0.009236393015597096	0.9802962639759304	0.0005951850564746098	0.046435016941426495
95	alfa-Cyperone	0.49475207700017276	0.00047181724694609706	0.28191371206834104	0.9802962639759304	0.0011317446380994616	0.4293042835231583
96	Glycetein	0.012590656084443735	1.9275045225695296e-06	0.4194599209964691	0.5738607814556462	7.525469784925716e-06	0.5478355551804419
97	5-Ethyl-2,3-dimethylpyrazine	0.2876462967113589	1.8497363587037562e-05	0.004893829790916723	0.9802962639759304	5.704649106254441e-05	0.02850850052803869
98	Maltol acetate	0.6533673290059698	0.010261077520887688	0.18614579560896205	0.9802962639759304	0.018642650743394957	0.32531193804042413
99	9-(nonanoylamino)nonanoic Acid	0.23159896182056205	1.2444717942115115e-07	0.012231199101105834	0.9802962639759304	5.437156529471723e-07	0.05658496730600541
100	Genistein	0.4523084305536097	0.00029918248174035344	0.7668186474887642	0.9802962639759304	0.0007520545945117104	0.8133596636658278
101	N-(3-hydroxy-4-methoxyphenyl)-3-nitro-4-(trifluoromethoxy)benzenesulfonamide	0.36445635000981713	0.03925148171539805	0.9797508609282033	0.9802962639759304	0.062091783575651226	0.9824277758487722
102	2-[[2-[(2-amino-3-methylpentanoyl)amino]-3-hydroxybutanoyl]amino]-3-hydroxypropanoic acid	0.608649700527433	9.643718928728556e-06	0.5832198599922855	0.9802962639759304	3.172184484868924e-05	0.6816614287170981
103	Pratensein	0.41406002051974	1.8012166661692875e-07	0.3369062608742599	0.9802962639759304	7.686587400978239e-07	0.4906531656383071
104	Sedanolide	0.23168367049289285	6.634158412177236e-06	0.0003921396673797487	0.9802962639759304	2.3187963212086148e-05	0.004414518813256417
105	Soyasaponin V	0.7811470655564194	0.00011467644034289645	0.1593440731810042	0.9802962639759304	0.00030945774710178676	0.3009156619402351
106	N-[bis(4-dimethylaminophenyl)methylene]aniline	0.7400594104417997	0.22663609148930486	0.3905792002154205	0.9802962639759304	0.2749907245217494	0.5381630012334903
107	(8R,9S,10R,13S,14S,17S)-17-hydroxy-13-methyl-2,4,7,8,9,10,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-one	0.918926864742945	0.4753708144314208	0.8583114594269963	0.9922199252459547	0.5207793698397953	0.8816925156039503
108	Soyasaponin I	0.7664496100445262	7.401543293565957e-12	0.008103900119959156	0.9802962639759304	7.989312908055019e-11	0.04186709191235664
109	(2S)-N-[(2S)-5-(diaminomethylideneamino)-1-oxopentan-2-yl]-1-[(2R)-pyrrolidine-2-carbonyl]pyrrolidine-2-carboxamide	0.22297077651819386	0.0003559626938127329	0.011573108092289812	0.9802962639759304	0.0008767671720085435	0.05516013856974495
110	[(2S,3S,5R)-3-azido-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl (4-nitrophenyl)methyl phenyl phosphate						
111	Biochanin B	0.05251622425174112	0.6885682822021382	0.14951965505237033	0.8680972185363263	0.7240818325735952	0.2932889034408915
112	N-[(3R)-7-bromo-1-methyl-2-oxo-3,4-dihydro-1,5-naphthyridin-3-yl]-methylboronamidic acid						
113	Oxamic acid derivative, 1						
114	Soyasaponin II	0.4283010800028674	8.972592576156882e-17	0.0010369142954724736	0.9802962639759304	3.658823861610639e-15	0.008849942940427857
115	Somatotropin (6-13)	0.7932667936718235	7.913425634095558e-16	0.007223512014286379	0.9802962639759304	1.8151420048206687e-14	0.037939311973947204
116	Oleanolic aldehyde	0.3584439115385981	6.966931060708394e-16	0.0006925500284682936	0.9802962639759304	1.704575799519987e-14	0.006688575274943783
117	[(2R,4aR,6aR,6aS,6bR,8aR,9S,10S,12aR,14bS)-10-acetyloxy-9-(acetyloxymethyl)-2,4a,6a,6b,9,12a-hexamethyl-4-oxo-3,5,6,6a,7,8,8a,10,11,12,13,14b-dodecahydro-1H-picen-2-yl]methyl acetate	0.5130218498179678	1.0860606283469373e-13	0.004702289692355787	0.9802962639759304	1.99292125301663e-12	0.02829082487040285
118	1-cyclohexylbenzimidazole-2-thiol						
119	Soyasaponin III	0.560856415321472	1.7090632795361323e-16	0.0023428015228147115	0.9802962639759304	6.272262235897606e-15	0.01563287561587271
120	2,2'-[(Dodecylimino)bis(ethyleneoxy)]diethan	0.009692961705495717	0.006934941391025748	0.7452167070182509	0.5081881351309897	0.012985323931155354	0.7950422426619131
121	4-[N-benzyl-C-[4-(dimethylamino)phenyl]carbonimidoyl]-N,N-dimethylaniline	0.7120098471598018	0.21532859944900284	0.36261308743198617	0.9802962639759304	0.2687945442101498	0.5138185447395326
122	Soyasaponin IV	0.3391370397786798	2.235972288247149e-19	0.0006329921932109594	0.9802962639759304	1.6412036595734073e-17	0.006278598240768164
123	N-[3-[3-aminopropyl(methyl)amino]propyl]octadec-9-enamide	0.989630593381055	0.09089718163100263	0.25708779777006185	0.9922199252459547	0.12732544144495406	0.3989208125232188
124	methyl 7-[(1R,2S,3R)-3-hydroxy-2-[(3S)-3-hydroxyoct-1-ynyl]-5-oxocyclopentyl]heptanoate	0.8085494103770234	0.18781446578725514	0.3957038890853155	0.9802962639759304	0.23768244463421598	0.539292656363217
125	2-(4-Methoxyphenyl)-2H-1,2,3-benzotriazol-5-ylamine	0.7329565995187468	0.22703593877408734	0.39299096547840706	0.9802962639759304	0.2749907245217494	0.5381630012334903
126	Pyoctanin	0.7012208590033424	0.21385617044668337	0.3553282013818736	0.9802962639759304	0.26786762646393447	0.5093962886997954
127	7-O-Ethyldaidzein						
128	Dibutyl 3-oxopentanedioate	0.34695045373806643	1.6881367033431056e-08	0.061069879113219115	0.9802962639759304	8.726002396153799e-08	0.17509879401993295
129	5-butoxy-3-butoxycarbonyl-3-hydroxy-5-oxopentanoic acid	0.24368878696028584	6.1053093749864376e-12	0.014865639894363025	0.9802962639759304	7.00202668943757e-11	0.06494868858608607
130	Betulonaldehyde						
131	2-(2,4-Dinitroanilino)-2-(hydroxymethyl)propane-1,3-diol						
132	Dehydrophytosphingosine	0.42266050476814876	2.4981548306476825e-05	0.007236381030453145	0.9802962639759304	7.514941170882782e-05	0.037939311973947204
133	Octadeca-8,10,12,14,16-pentaenoic acid	0.7476518815018933	0.0024150630380671678	0.7438740873483773	0.9802962639759304	0.004979371544778936	0.7950422426619131
134	alpha-12,13-DiHODE	0.9086549958731978	0.08675363296351687	0.1814993715232196	0.9922199252459547	0.12245608960619497	0.3187094227225914
135	Anthraquinone	0.08375037006618757	0.7648945654757487	0.07721083055947715	0.9323383181454349	0.799761554215384	0.1995519353192121
136	N-(1-hydroxy-3-phenylpropan-2-yl)-15-pyridin-1-ium-1-N-(1-hydroxy-3-phenylpropan-2-yl)-15-pyridin-1-ium-1-ylpentadecanamide	0.04952358144106559	8.079298261289913e-13	6.171805113809613e-06	0.8680972185363263	1.2891749834319123e-11	0.00016836910971809024
