	Metabolite	p_Group	p_Hour	p_Interaction	p_Group_adj	p_Hour_adj	p_Interaction_adj
137	N-[2-[[(Z)-heptadec-12-en-10-ynyl]-methylamino]ethyl]-N-methylacetamide	0.0656807535882478	1.3921143118309079e-08	6.0110771340037414e-05	0.8680972185363263	7.29865646345633e-08	0.0011030326540896866
138	16-[bis(2-hydroxyethyl)amino]hexadecan-1-ol	0.0007945866256618769	0.05642538393778773	0.17734568472678303	0.17203995873155215	0.0845229220619106	0.3154809802074199
139	7-Ethoxy-4â€²-methoxyisoflavone						
140	1,3-Bis(4-nitrophenoxy)propane						
141	 Phytosphingosine	0.131374134454236	4.760469812164053e-09	0.0004968167040871106	0.9802962639759304	2.7298319079128246e-08	0.005064770288888044
142	9-hydroxy-10E,12Z,15Z-octadecatrienoic acid	0.25418366889934507	1.1457488391973576e-09	0.04321513343359199	0.9802962639759304	7.008163733090504e-09	0.14035357495688727
143	6-amino-2-[[(9Z,12Z)-octadeca-9,12-dienoyl]amino]hexanoic Acid	0.5000756098469427	0.012667350206629813	0.09249421841962865	0.9802962639759304	0.022677646467478735	0.21978740605718305
144	Aformosin						
145	8-(4-methoxybenzoyl)oxyoctyl 4-methoxybenzoate	0.9847913922169848	0.5146243017418837	0.796020812755618	0.9922199252459547	0.5604365541224667	0.8370763274536154
146	Sphinganine	0.37716791275521677	4.101402725840236e-05	0.1000675745516551	0.9802962639759304	0.00012041718403066933	0.2295299991278589
147	3-(3-methoxyphenoxy)-4-oxochromen-7-yl methylsulfonate						
148	Isoleukotoxin	0.8182133290635795	0.04445912274324252	0.1598870683333674	0.9802962639759304	0.06826986630447701	0.3009156619402351
149	9,12-Octadecadienamide, N-[2-(dimethylamino)ethyl]-, (9Z,12Z)-	0.08126293917327172	5.438667431595706e-17	1.3314059174466553e-06	0.9323383181454349	2.49498868424453e-15	6.980371024327464e-05
150	N-palmitoyl histidine	0.5344591977606368	0.013924365743500046	0.11544000608566299	0.9802962639759304	0.024568472249348636	0.247360348596672
151	N-palmitoyl lysine	0.4927108948633555	0.017434875861268347	0.1023148388913434	0.9802962639759304	0.030182072835308885	0.2317873202044631
152	Linoleamidopropyl Dimethylamine	0.041838551099376384	1.2796608649350863e-11	4.091097529509512e-06	0.8680972185363263	1.3045431595310463e-10	0.0001537698283294076
153	2-[[(2S)-2-amino-6-(tert-butylamino)hexanoyl]amino]-6-(tert-butylamino)hexanoic acid	0.03012403950285037	3.5775030189164305e-12	9.89170608599967e-07	0.850424807503545	4.527391751525276e-11	6.050426889269799e-05
154	1-18:3-lysoPE	0.4278000921568845	0.8132091634120896	0.39675481530808876	0.9802962639759304	0.8449378801325378	0.539292656363217
155	1-18:3-lysoPC	0.6396748722588743	0.819612766559083	0.5193902261111861	0.9802962639759304	0.8449378801325378	0.6322757976577065
156	N-Palmitoyl-L-arginine	0.5513968633139016	0.018215838264950567	0.09499427919801515	0.9802962639759304	0.031239311416994667	0.2234801311902023
157	N-(3-aminopropyl)hexadecanamide	0.22089660165082758	3.712927482072074e-12	8.980092862742193e-07	0.9802962639759304	4.54214795306817e-11	6.050426889269799e-05
158	N-oleoyl histidine	0.5439478829477047	0.014890473976408941	0.12500979091558584	0.9802962639759304	0.02614738731742623	0.26367007624149424
159	Palmitoylputrescine	0.06302030898553239	5.685547929007477e-16	3.6294717800689674e-07	0.8680972185363263	1.4904257785326744e-14	5.2941708108629824e-05
160	 LysoPE(16:1(9Z)/0:0)	0.724069450099938	0.0009581959925115234	0.5202923457564779	0.9802962639759304	0.0021312601772832066	0.6322757976577065
161	8,11,14-Eicosatrienoic acid	0.5635337042342119	0.0007994040139274321	0.017743401519650304	0.9802962639759304	0.0018222439323687428	0.07316661076080519
162	2,3-dihydroxypropyl octadeca-6,9,12,15-tetraenoate	0.7928636884593703	0.17049112527666987	0.43586538268636577	0.9802962639759304	0.21877707334453791	0.5598104167516097
163	N-Hexadecyl diethanolamine	0.001164935814479134	0.004046570995067475	6.93582095589595e-06	0.17203995873155215	0.008115254399944061	0.0001696964193875876
164	N-(3-aminopropyl)octadec-9-enamide	0.14940678578306263	4.580468974092204e-12	1.6730982798100071e-06	0.9802962639759304	5.4226842370704484e-11	7.675338358628408e-05
165	9-Octadecenamide, N-[3-(methylamino)propyl]-, (Z)-	0.09645258783310373	4.667575768977141e-16	1.3737163855126786e-05	0.9802962639759304	1.4164250245511959e-14	0.00031509619592697067
166	Methyl (2S,6R)-7-hydroxy-2,6-bis[(2-methylpropan-2-yl)oxycarbonylamino]heptanoate	0.7226455269733744	0.2235832778871487	0.30813325576015604	0.9802962639759304	0.2749907245217494	0.4596947352194198
167	Linoleamide 	0.9640775742805762	5.400844101332011e-05	0.07471073255575345	0.9922199252459547	0.00015365192133246882	0.19835719859471002
168	tert-butyl N-[1-[[1-(2-hydroxyphenyl)-2-(4-methoxyanilino)-2-oxoethyl]-methylamino]-4-methyl-1-oxopentan-2-yl]carbamate	0.4976439634672367	0.2191709402539358	0.42858122926038134	0.9802962639759304	0.27209247853628354	0.5557926188641694
169	LysoPE(18:2(9Z,12Z) (Lysophosphatidylethanolamine)	0.5157728321867714	0.26076795498665606	0.48764408623280864	0.9802962639759304	0.31173237615668653	0.6150013046303806
170	 LysoPC(0:0/18:2(9Z,12Z))	0.6125638045022057	0.6298996758997868	0.5161143110884607	0.9802962639759304	0.6692229144322334	0.6322757976577065
171	2-[[2-[[6-amino-2-[(2-amino-3-phenylpropanoyl)amino]hexanoyl]amino]-3-hydroxybutanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid	0.778843179766568	0.4499822649833546	0.493072884029054	0.9802962639759304	0.4974201543641299	0.6155025457097375
172	Ethyl 3-oxo-2-pentylcyclopentane-1-carboxylate	0.6587931113035811	0.0005618450432553927	0.05097217116049063	0.9802962639759304	0.0013303040701595427	0.15554654470352894
173	(10Z,14E,16E)-10,14,16-Octadecatrien-12-ynoic acid	0.7644879584850605	0.1533276607561522	0.3761218546474018	0.9802962639759304	0.19883834451416205	0.5268577124259407
174	Palmitoylethanolamide	0.7918551014692226	0.007653033971441877	0.07918284659933265	0.9802962639759304	0.014089027121303303	0.2032175153982873
175	1-(9Z,12Z-octadecadienoyl)-glycero-3-phosphoserine	0.38590368566846134	0.0006333721008473119	0.04223870368805101	0.9802962639759304	0.0014619343459809024	0.1387303583945432
176	n-Stearoyl lysine	0.6146708936307252	0.10450290534157035	0.25100137515765364	0.9802962639759304	0.14257459576340636	0.39526009199405726
177	n-Stearoyl histidine	0.5218889206120211	0.032761067140349105	0.13112701569846488	0.9802962639759304	0.05367549839512554	0.2734296293257762
178	n-Linolenoyl glutamic acid	0.4000675498866234	0.005757738267681946	0.05087751556207644	0.9802962639759304	0.01123984012893231	0.15554654470352894
179	12,15-Octadecadiynoic acid	0.9784827509972513	0.8427607983915752	0.8100636235201265	0.9922199252459547	0.8615409833139501	0.849409570948247
180	9-OxoOTrE	0.19524580335171005	0.0006042936441812858	0.015302065760600978	0.9802962639759304	0.0014125845058250439	0.06530067597837859
181	11,15-Octadecadiynoic acid	0.21717267819410468	0.017837234336793826	0.05921160188047338	0.9802962639759304	0.03073363850517997	0.1716561572236435
182	LysoPE(16:0/0:0)	0.18054595692950204	0.543397272539161	0.012699790769257847	0.9802962639759304	0.5848293226447863	0.05683930746728817
183	2-[[2-[[2-(2,6-diaminohexanoylamino)-3-hydroxypropanoyl]amino]-3-methylpentanoyl]amino]-4-methylpentanoic acid	0.7329466590605829	0.22701795594222518	0.39297265100161194	0.9802962639759304	0.2749907245217494	0.5381630012334903
184	LysoPC(16:0/0:0)	0.03571319989828903	0.0011814841374526088	0.02451164198375831	0.8680972185363263	0.002580980228839925	0.09501686072816261
185	7-oxooctadecanoate	0.20762619114652248	4.4317810603145245e-06	0.0017957385464367418	0.9802962639759304	1.610360048648941e-05	0.013180720930845683
186	N-(3-Aminopropyl)stearamide	0.10448738665838486	1.5571170072957369e-12	5.770213417834313e-07	0.9802962639759304	2.1979305449135977e-11	5.2941708108629824e-05
187	(5Z,9E)-6,10,14-trimethylpentadeca-5,9,13-trien-1-yne	0.2930034972679033	2.252557962130194e-09	0.00020739579291632174	0.9802962639759304	1.3333689872609374e-08	0.002819046518529262
188	Farnesyl acetone	0.30173567416977476	4.9582314307569895e-09	0.00016212366972167264	0.9802962639759304	2.7994937462889463e-08	0.002479141116160578
189	13-Octadecen-2-one, 1,1,1-trifluoro-, (13Z)-	0.4240431162650402	1.8569841493059862e-06	0.0021918086599810754	0.9802962639759304	7.328098739734375e-06	0.01524890340503644
190	(9E,11E)-Octadecadienoic acid	0.368583042390897	2.0882217409030026e-07	0.0007165034145270703	0.9802962639759304	8.708833851265932e-07	0.006742480849523969
191	N-(2-hydroxy-1-methylethyl)-9-octadecenamide	0.2303792750947462	0.00018549902561964572	0.008213707405148986	0.9802962639759304	0.000482823704981631	0.04186709191235664
192	N-(2-hydroxyethyl)nonadecanamide	0.9745699138834014	0.005518072159709028	0.07012923124067688	0.9922199252459547	0.010829585468519858	0.1920703572039434
193	4-acetamido-N,N-dibutyl-5-chloro-2-methoxybenzamide	0.121394176790932	7.382147290457127e-08	0.00026769481345217315	0.9802962639759304	3.518503968308787e-07	0.0033877240185154326
194	2-[[2-[(2-Azaniumyl-4-methylpentanoyl)amino]-3-methylbutanoyl]amino]-4-methylpentanoate	0.5358003694475997	0.00031025553651853696	0.014681849780157647	0.9802962639759304	0.000769349877718264	0.06491854059419104
195	Alpha-Linolenoyl ethanolamide	0.5345422476978343	0.000418373172466538	0.01607075600422485	0.9802962639759304	0.001010151015100128	0.0677927293511554
196	 Linoleic acid	0.3803066448728225	9.977967075336377e-12	0.09198066935129472	0.9802962639759304	1.0462611190424143e-10	0.21978740605718305
197	9,12-Octadecadiynoicacid	0.3274628701069835	3.3706372961768e-13	0.0001963431809171202	0.9802962639759304	5.890589941413741e-12	0.0027714595152531964
198	Dodecadienoic acid isobutylamide	0.08822486100867678	4.2148419493928506e-07	0.0011545329636104842	0.9523095291230701	1.7187188838079735e-06	0.009415857725445504
199	LysoPE(18:1(9Z)/0:0)	0.9585894978964201	7.906127602222284e-05	0.6617452915393384	0.9922199252459547	0.00022319606384735215	0.7374814441162137
200	Lysolecithin	0.7960862205208596	0.10814303231169074	0.9249531646489927	0.9802962639759304	0.14645200316749263	0.9351454860225353
201	Octadeca-10,12-dienoic acid	0.9870339337714487	0.041496532437472325	0.3612900078830642	0.9922199252459547	0.06453062459556078	0.5138185447395326
202	N-(9Z,12Z,15Z)-octadecatrienoylglycinate	0.5756910597377773	0.04574491915356262	0.15776893138886294	0.9802962639759304	0.0699516055389895	0.30000620631975494
203	N-(.alpha.-Linolenoyl) Tyrosine	0.631296126858309	0.09720349178486955	0.24088303154445667	0.9802962639759304	0.1346176659813099	0.3885819012137364
204	2-[2-[2-[2-[2-(decylamino)-2-oxoethoxy]ethoxy]ethoxy]ethoxy]acetic acid	0.5811190340055061	0.23174863917915844	0.7251342215420569	0.9802962639759304	0.27885819861885625	0.7804230478179909
205	Tributyl Citrate	0.6931451640838275	0.2476498890720783	0.9335587507207097	0.9802962639759304	0.29701800421389785	0.9412529162486276
206	4-[[(6Z,9Z,12Z)-octadeca-6,9,12-trienoyl]amino]butanoic acid	0.7630251578870239	0.11371305086649872	0.2633764106490034	0.9802962639759304	0.15286699512089755	0.4044315594484697
207	13-oxooctadeca-9,11-dienoic acid	0.8280431657562355	0.04104851688899775	0.49508435292464514	0.9802962639759304	0.06410555616281777	0.6159185000791348
208	 LysoPI(16:0/0:0)	0.2594117255571803	7.958758180125161e-08	9.549724379971888e-05	0.9802962639759304	3.744697759110172e-07	0.001593067657931674
209	Methyl 7-(3-nonyloxiran-2-yl)heptanoate	0.3297424945930053	0.01695931850099939	0.09135748757885626	0.9802962639759304	0.029497961563349644	0.21978740605718305
210	N-heptyl-4,6-dimorpholin-4-yl-1,3,5-triazin-2-amine	0.6241619771077158	0.032449153431614246	0.1521363899970803	0.9802962639759304	0.053402866858306856	0.2954182811054416
211	Glutamic acid lineolamide	0.4555950171822829	0.013459746459716706	0.08181129682546157	0.9802962639759304	0.023863415220850392	0.2085051801037805
212	1-oleoyl-sn-glycero-3-phosphoserine	0.3584603333170442	0.007677943935315152	0.0677095296603597	0.9802962639759304	0.014089027121303303	0.188253010495091
213	12,13-EpOME	0.8885088639544307	0.4678051593185535	0.5130848636946157	0.9922199252459547	0.5140254295506261	0.6318863925366576
214	LPG(18:2(9Z,12Z)/0:0)	0.26701674308134704	0.00012858864937989289	0.035611264689272344	0.9802962639759304	0.000341971263205947	0.12341945613440444
215	Linoleic acid amide	0.6141211004468583	8.952123168079798e-08	0.005600637971375401	0.9802962639759304	4.1067865033566073e-07	0.031622063622996494
216	tert-butyl N-[(2R)-4-methyl-1-[[(2S)-1-(methylamino)-1-oxo-3-prop-2-enoxypropan-2-yl]amino]-1-oxopentan-2-yl]carbamate	0.6212893453022821	0.08399331491904544	0.22176040735794655	0.9802962639759304	0.11947886269492121	0.36660391666831704
217	N-palmitoyl glutamine	0.1410720864801093	8.547532816664407e-06	0.0016477159122733776	0.9802962639759304	2.8517677670143977e-05	0.012598161245923533
218	(2S)-1-[(2S)-2-(hexadecanoylamino)-3-hydroxypropanoyl]pyrrolidine-2-carboxamide	0.7180563821387088	0.20800376428827605	0.3733051160340276	0.9802962639759304	0.2614293886773881	0.5249156229290733
219	Linoleyl aldehyde	0.46760573097902147	0.006588994414465146	0.0719168668962015	0.9802962639759304	0.012409663708371866	0.1955073344511552
220	1-Monolinolenin	0.5110861534134004	0.14207053580360168	0.49024761056140165	0.9802962639759304	0.18489321503518374	0.6155025457097375
221	9-Octadecen-16-ynoic acid	0.889926326330754	2.856046375705145e-08	0.6048678724785467	0.9922199252459547	1.4164446214645788e-07	0.6980707836466246
222	CPA(18:2(9Z,12Z)/0:0)	0.21517382210954994	0.0008203790696719711	0.017988432818595766	0.9802962639759304	0.001858513077590206	0.07335283160471828
223	Cis-8,11,14,17-Eicosatetraenoic acid	0.8056556646507415	0.8914343156717566	0.5201515364022543	0.9802962639759304	0.9037469443412559	0.6322757976577065
224	Linoleoyl ethanolamide (Linoleamide MEA)	0.39915325802257406	9.680780989245763e-06	0.00355644589026766	0.9802962639759304	3.172184484868924e-05	0.02289852003031985
225	N-oleoyl glutamine	0.13276521943116626	1.5630156696575499e-06	0.001321760609518619	0.9802962639759304	6.235073377873052e-06	0.01054535094985507
226	Docosatetraenoyl Ethanolamide	0.6810407938599391	0.0025724211640246464	0.03303088569730005	0.9802962639759304	0.005244880928872473	0.11952648077636095
227	Palmitoleamide	0.4040572903209464	5.372230435741409e-13	0.0009367749257249018	0.9802962639759304	8.961857135986804e-12	0.008385277993683878
228	2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine	0.0029794317018970794	8.310309098225151e-06	0.025510330709233232	0.18224190576603805	2.8239661472672503e-05	0.09752386844050621
229	n-Linoleoyl tyrosine	0.7608759337797857	0.09362449895389444	0.3877437948285525	0.9802962639759304	0.1301522390760578	0.5381630012334903
230	Palmitoylglutamic acid	0.534154998463727	0.04405405364972167	0.15450051227899214	0.9802962639759304	0.06793209113213383	0.2966999414841926
231	Linoleoyl glycine	0.5888443143566591	0.039584943005748684	0.16304715269070957	0.9802962639759304	0.062165584736558324	0.3037477413070579
232	Octadeca-9,12,15-trien-2-one	0.4917760335572472	0.012171600600844296	0.08605766094134318	0.9802962639759304	0.0220048148793589	0.2163230244210476
233	 N-Linoleoyl GABA	0.7816917654522513	0.08919541608185022	0.23315187022979666	0.9802962639759304	0.12542037433731432	0.3786138777625459
234	9-Octadecen-17-ynoicacid	0.5504845332994539	0.40645083654667513	0.17794158829137852	0.9802962639759304	0.46101685648186885	0.3154809802074199
235	n-palmitoylserine	0.6445553892805249	0.07176186190847618	0.20293473730841838	0.9802962639759304	0.10287735672035453	0.34163783757885113
236	Stearoyl lysophosphatidylethanolamine	0.2008054217323364	0.6289423970495694	0.5068771007803754	0.9802962639759304	0.6692229144322334	0.6284591080621547
237	 LysoPC(18:0/0:0)	0.06040860284361185	0.0016636690771221672	0.042337330082258415	0.8680972185363263	0.0034941111972904113	0.1387303583945432
238	Oleoyl glutamic acid	0.5368353516436153	0.04186317626552549	0.15018570122855776	0.9802962639759304	0.06482609995547618	0.2932889034408915
239	34,8,12-Trimethyltrideca-3,7,11-trien-2-one	0.15328440083967412	5.133385126623629e-21	5.176410454594589e-06	0.9802962639759304	4.70988085367718e-19	0.00015831188640301786
240	15-Hexadecynoic acid	0.16933090907645754	2.2420201861882068e-21	6.422799825758212e-06	0.9802962639759304	4.1141070416553597e-19	0.00016836910971809024
241	Linoleoyl sarcosine	0.5868241557609659	0.036668709151123705	0.16432058380651593	0.9802962639759304	0.05876600986228122	0.3037983583783536
242	N-prop-2-enylnonanamide	0.4848703671974648	1.309044052344757e-10	0.002243707857961765	0.9802962639759304	9.608383344210516e-10	0.01524890340503644
243	2,4-tetradecadienoic acid isobutyl amide	0.4789900210268393	2.049806564884588e-11	0.002047779256123149	0.9802962639759304	1.9796816034543258e-10	0.014735980137199917
244	(11E)-1-azacyclotridec-11-en-2-one	0.4358257375188753	1.625768818613974e-11	0.000993887928917204	0.9802962639759304	1.6125869092738605e-10	0.008684687378871759
245	Azacyclododecan-2-one	0.4536936347140532	5.475051030516076e-11	0.0015803980812143603	0.9802962639759304	4.5666902913622725e-10	0.012340555229907877
246	MG(16:1(9Z)	0.8050168172501675	0.6729325141463849	0.19259634015989113	0.9802962639759304	0.7096730824474806	0.33340970206924553
247	N-Oleoyl-L-Serine	0.6353228430993811	0.06720144015478234	0.1955843237348378	0.9802962639759304	0.09709814384568945	0.3344787802931003
248	N-palmitoyl threonine	0.6560187718712223	0.11497808978827503	0.26504471843268174	0.9802962639759304	0.15400349982590122	0.40529754860330913
249	methyl 2-[2-[(2-methylpropan-2-yl)oxycarbonylamino]pentanoylamino]pentanoate	0.948741032853689	0.27340262116598013	0.5887746759226903	0.9922199252459547	0.32472091251752333	0.6837984369102131
250	Glycidyl linoleate	0.6052745477988354	0.22344809248584463	0.5500653031680964	0.9802962639759304	0.2749907245217494	0.6533138066753766
251	N-palmitoyl tyrosine	0.7175624495302806	0.11643254244339199	0.3449091267371165	0.9802962639759304	0.15482153288668427	0.4983529508366998
252	1-Linoleoyl-rac-glycerol	0.6271864800133451	0.21945333418730228	0.5350866802888332	0.9802962639759304	0.27209247853628354	0.6460041424692236
253	Palmitoylglycine	0.5282291414355103	0.019892594529850535	0.10855134662690356	0.9802962639759304	0.03395619624397742	0.2423471092644336
254	Anandamide (18:4, n-3)	0.9922199252459547	0.0015535960243183665	0.1476664767790397	0.9922199252459547	0.003314940354214189	0.2932889034408915
255	Alpha-linolenic acid (alpha-LA)	0.9785566915927912	0.0020069496806218233	0.16119884654631078	0.9922199252459547	0.0041849462090239155	0.3018366157270207
256	(1-(tert-Butoxycarbonyl)-4-(ethoxycarbonyl)-1H-indol-2-yl)boronic acid	0.7843360828429075	0.037790977492413946	0.3846911271931277	0.9802962639759304	0.060301255390069204	0.536812333383566
257	N-Palmitoyl GABA	0.8705148269092666	0.06444599211256383	0.1907503645226305	0.9922199252459547	0.09498666307353784	0.331779070046471
258	Actinonin	0.9287590573246806	0.06921716923554369	0.19885772116750466	0.9922199252459547	0.09961843572331189	0.33787399846515836
259	N-oleoyl threonine	0.6472407549557897	0.10261030234319679	0.24840566005014464	0.9802962639759304	0.14051485432818367	0.39295205706208225
